I1019 21:50:24.517382       1 request.go:589] Waited for 1.046152537s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/events.k8s.io/v1beta1?timeout=32s
I1019 21:50:25.566917       1 request.go:589] Waited for 2.095663395s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/network.azure.com/v1beta20201101?timeout=32s
I1019 21:50:26.567293       1 request.go:589] Waited for 3.095973733s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301storage?timeout=32s
I1019 21:50:27.617286       1 request.go:589] Waited for 4.145888995s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/servicebus.azure.com/v1beta20210101preview?timeout=32s
I1019 21:50:28.667121       1 request.go:589] Waited for 5.195654155s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbformysql.azure.com/v1alpha1api20210501storage?timeout=32s
I1019 21:50:30.216609       1 request.go:589] Waited for 1.038455744s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301?timeout=32s
I1019 21:50:31.216801       1 request.go:589] Waited for 2.038596315s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/coordination.k8s.io/v1?timeout=32s
I1019 21:50:32.216915       1 request.go:589] Waited for 3.038648993s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/snapshot.storage.k8s.io/v1beta1?timeout=32s
I1019 21:50:33.217448       1 request.go:589] Waited for 4.039064073s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbforpostgresql.azure.com/v1beta20210601?timeout=32s
I1019 21:50:34.267485       1 request.go:589] Waited for 5.089091069s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/containerregistry.azure.com/v1beta20210901storage?timeout=32s
I1019 21:50:35.316854       1 request.go:589] Waited for 6.138397261s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/keyvault.azure.com/v1beta20210401preview?timeout=32s
I1019 22:07:39.964321       1 recorder.go:103] events "msg"="Normal"  "message"="Continue monitoring deletion" "object"={"kind":"ResourceGroup","namespace":"cosmosdb","name":"aso-cosmos-demo","uid":"6d6910c9-cb79-49c7-9e97-edb3abc44fe2","apiVersion":"resources.azure.com/v1beta20200601","resourceVersion":"8003"} "reason"="MonitorDelete"
E1019 22:07:39.976132       1 event.go:267] Server rejected event '&v1.Event{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:v1.ObjectMeta{Name:"aso-cosmos-demo.171f979a76d59b76", GenerateName:"", Namespace:"cosmosdb", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), DeletionTimestamp:<nil>, DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil), OwnerReferences:[]v1.OwnerReference(nil), Finalizers:[]string(nil), ZZZ_DeprecatedClusterName:"", ManagedFields:[]v1.ManagedFieldsEntry(nil)}, InvolvedObject:v1.ObjectReference{Kind:"ResourceGroup", Namespace:"cosmosdb", Name:"aso-cosmos-demo", UID:"6d6910c9-cb79-49c7-9e97-edb3abc44fe2", APIVersion:"resources.azure.com/v1beta20200601", ResourceVersion:"8003", FieldPath:""}, Reason:"MonitorDelete", Message:"Continue monitoring deletion", Source:v1.EventSource{Component:"ResourceGroupController", Host:""}, FirstTimestamp:time.Date(2022, time.October, 19, 22, 4, 36, 824841078, time.Local), LastTimestamp:time.Date(2022, time.October, 19, 22, 7, 39, 964133627, time.Local), Count:9, Type:"Normal", EventTime:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), Series:(*v1.EventSeries)(nil), Action:"", Related:(*v1.ObjectReference)(nil), ReportingController:"", ReportingInstance:""}': 'events "aso-cosmos-demo.171f979a76d59b76" is forbidden: unable to create new content in namespace cosmosdb because it is being terminated' (will not retry!)
I1019 22:07:39.977213       1 azure_generic_arm_reconciler_instance.go:236] controllers/ResourceGroupController "msg"="Found resource: continuing to wait for deletion..." "azureName"="aso-cosmos-demo" "name"="aso-cosmos-demo" "namespace"="cosmosdb" 
I1019 22:08:25.995002       1 common.go:55] controllers/SqlDatabaseController "msg"="Reconcile invoked" "name"="sample-sql-db" "namespace"="cosmosdb" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system","serviceoperator.azure.com/resource-id":"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db"} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 3, Severity = \"Info\", Reason = \"Deleting\", Message = \"The resource is being deleted\", LastTransitionTime = \"2022-10-19 22:04:21 +0000 UTC\"]" "creationTimestamp"="2022-10-19T21:55:54Z" "finalizers"=["serviceoperator.azure.com/finalizer"] "generation"=3 "kind"={"kind":"SqlDatabase","apiVersion":"documentdb.azure.com/v1beta20210515storage"} "owner"={"group":"documentdb.azure.com","kind":"DatabaseAccount","name":"gitopsiacdemo"} "ownerReferences"=[{"apiVersion":"documentdb.azure.com/v1beta20210515storage","kind":"DatabaseAccount","name":"gitopsiacdemo","uid":"d4382b5d-8e98-45c8-8e1f-27cf8c019412"}] "resourceVersion"="8030" "uid"="c2ed0e47-7e67-46f8-b2f7-a4c7e047cd34"
I1019 22:08:25.995052       1 azure_generic_arm_reconciler_instance.go:89] controllers/SqlDatabaseController "msg"="Determined Delete action" "azureName"="sample-sql-db" "name"="sample-sql-db" "namespace"="cosmosdb" "action"="MonitorDelete"
I1019 22:08:25.995068       1 azure_generic_arm_reconciler_instance.go:211] controllers/SqlDatabaseController "msg"="Continue monitoring deletion" "azureName"="sample-sql-db" "name"="sample-sql-db" "namespace"="cosmosdb" 
I1019 22:08:25.995303       1 recorder.go:103] events "msg"="Normal"  "message"="Continue monitoring deletion" "object"={"kind":"SqlDatabase","namespace":"cosmosdb","name":"sample-sql-db","uid":"c2ed0e47-7e67-46f8-b2f7-a4c7e047cd34","apiVersion":"documentdb.azure.com/v1beta20210515storage","resourceVersion":"8030"} "reason"="MonitorDelete"
E1019 22:08:26.008410       1 event.go:267] Server rejected event '&v1.Event{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:v1.ObjectMeta{Name:"sample-sql-db.171f979735c63a89", GenerateName:"", Namespace:"cosmosdb", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), DeletionTimestamp:<nil>, DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil), OwnerReferences:[]v1.OwnerReference(nil), Finalizers:[]string(nil), ZZZ_DeprecatedClusterName:"", ManagedFields:[]v1.ManagedFieldsEntry(nil)}, InvolvedObject:v1.ObjectReference{Kind:"SqlDatabase", Namespace:"cosmosdb", Name:"sample-sql-db", UID:"c2ed0e47-7e67-46f8-b2f7-a4c7e047cd34", APIVersion:"documentdb.azure.com/v1beta20210515storage", ResourceVersion:"8030", FieldPath:""}, Reason:"MonitorDelete", Message:"Continue monitoring deletion", Source:v1.EventSource{Component:"SqlDatabaseController", Host:""}, FirstTimestamp:time.Date(2022, time.October, 19, 22, 4, 22, 848412297, time.Local), LastTimestamp:time.Date(2022, time.October, 19, 22, 8, 25, 995076090, time.Local), Count:9, Type:"Normal", EventTime:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), Series:(*v1.EventSeries)(nil), Action:"", Related:(*v1.ObjectReference)(nil), ReportingController:"", ReportingInstance:""}': 'events "sample-sql-db.171f979735c63a89" is forbidden: unable to create new content in namespace cosmosdb because it is being terminated' (will not retry!)
I1019 22:08:26.062903       1 common.go:55] controllers/SqlDatabaseContainerController "msg"="Reconcile invoked" "name"="sample-sql-container" "namespace"="cosmosdb" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system","serviceoperator.azure.com/resource-id":"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db/containers/sample-sql-container"} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 2, Severity = \"Info\", Reason = \"Deleting\", Message = \"The resource is being deleted\", LastTransitionTime = \"2022-10-19 22:04:21 +0000 UTC\"]" "creationTimestamp"="2022-10-19T21:55:54Z" "finalizers"=["serviceoperator.azure.com/finalizer"] "generation"=2 "kind"={"kind":"SqlDatabaseContainer","apiVersion":"documentdb.azure.com/v1beta20210515storage"} "owner"={"group":"documentdb.azure.com","kind":"SqlDatabase","name":"sample-sql-db"} "ownerReferences"=[{"apiVersion":"documentdb.azure.com/v1beta20210515storage","kind":"SqlDatabase","name":"sample-sql-db","uid":"c2ed0e47-7e67-46f8-b2f7-a4c7e047cd34"}] "resourceVersion"="8029" "uid"="af6aca8d-3cb0-437e-b08a-5873fb62f999"
I1019 22:08:26.062948       1 azure_generic_arm_reconciler_instance.go:89] controllers/SqlDatabaseContainerController "msg"="Determined Delete action" "azureName"="sample-sql-container" "name"="sample-sql-container" "namespace"="cosmosdb" "action"="MonitorDelete"
I1019 22:08:26.062963       1 azure_generic_arm_reconciler_instance.go:211] controllers/SqlDatabaseContainerController "msg"="Continue monitoring deletion" "azureName"="sample-sql-container" "name"="sample-sql-container" "namespace"="cosmosdb" 
I1019 22:08:26.063098       1 recorder.go:103] events "msg"="Normal"  "message"="Continue monitoring deletion" "object"={"kind":"SqlDatabaseContainer","namespace":"cosmosdb","name":"sample-sql-container","uid":"af6aca8d-3cb0-437e-b08a-5873fb62f999","apiVersion":"documentdb.azure.com/v1beta20210515storage","resourceVersion":"8029"} "reason"="MonitorDelete"
E1019 22:08:26.072619       1 event.go:267] Server rejected event '&v1.Event{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:v1.ObjectMeta{Name:"sample-sql-container.171f9797373c2a31", GenerateName:"", Namespace:"cosmosdb", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), DeletionTimestamp:<nil>, DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil), OwnerReferences:[]v1.OwnerReference(nil), Finalizers:[]string(nil), ZZZ_DeprecatedClusterName:"", ManagedFields:[]v1.ManagedFieldsEntry(nil)}, InvolvedObject:v1.ObjectReference{Kind:"SqlDatabaseContainer", Namespace:"cosmosdb", Name:"sample-sql-container", UID:"af6aca8d-3cb0-437e-b08a-5873fb62f999", APIVersion:"documentdb.azure.com/v1beta20210515storage", ResourceVersion:"8029", FieldPath:""}, Reason:"MonitorDelete", Message:"Continue monitoring deletion", Source:v1.EventSource{Component:"SqlDatabaseContainerController", Host:""}, FirstTimestamp:time.Date(2022, time.October, 19, 22, 4, 22, 872918577, time.Local), LastTimestamp:time.Date(2022, time.October, 19, 22, 8, 26, 62971490, time.Local), Count:9, Type:"Normal", EventTime:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), Series:(*v1.EventSeries)(nil), Action:"", Related:(*v1.ObjectReference)(nil), ReportingController:"", ReportingInstance:""}': 'events "sample-sql-container.171f9797373c2a31" is forbidden: unable to create new content in namespace cosmosdb because it is being terminated' (will not retry!)
E1019 22:08:26.128915       1 azure_generic_arm_reconciler_instance.go:93] controllers/SqlDatabaseController "msg"="Error during Delete" "error"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 40827014-a70c-45b8-a080-713f735d1438, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "azureName"="sample-sql-db" "name"="sample-sql-db" "namespace"="cosmosdb" "action"="MonitorDelete"
E1019 22:08:26.129009       1 generic_controller.go:231] controllers/SqlDatabaseController "msg"="error during reconcile" "error"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 40827014-a70c-45b8-a080-713f735d1438, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "name"="sample-sql-db" "namespace"="cosmosdb" 
E1019 22:08:26.129103       1 controller.go:317] controllers/controller/sqldatabase "msg"="Reconciler error" "error"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 40827014-a70c-45b8-a080-713f735d1438, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "name"="sample-sql-db" "namespace"="cosmosdb" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabase" 
I1019 22:08:26.129184       1 recorder.go:103] events "msg"="Warning"  "message"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 40827014-a70c-45b8-a080-713f735d1438, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "object"={"kind":"SqlDatabase","namespace":"cosmosdb","name":"sample-sql-db","uid":"c2ed0e47-7e67-46f8-b2f7-a4c7e047cd34","apiVersion":"documentdb.azure.com/v1beta20210515storage","resourceVersion":"8030"} "reason"="DeleteActionError"
E1019 22:08:26.131999       1 event.go:267] Server rejected event '&v1.Event{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:v1.ObjectMeta{Name:"sample-sql-db.171f97cfda6c9845", GenerateName:"", Namespace:"cosmosdb", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), DeletionTimestamp:<nil>, DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil), OwnerReferences:[]v1.OwnerReference(nil), Finalizers:[]string(nil), ZZZ_DeprecatedClusterName:"", ManagedFields:[]v1.ManagedFieldsEntry(nil)}, InvolvedObject:v1.ObjectReference{Kind:"SqlDatabase", Namespace:"cosmosdb", Name:"sample-sql-db", UID:"c2ed0e47-7e67-46f8-b2f7-a4c7e047cd34", APIVersion:"documentdb.azure.com/v1beta20210515storage", ResourceVersion:"8030", FieldPath:""}, Reason:"DeleteActionError", Message:"head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 40827014-a70c-45b8-a080-713f735d1438, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n", Source:v1.EventSource{Component:"SqlDatabaseController", Host:""}, FirstTimestamp:time.Date(2022, time.October, 19, 22, 8, 26, 128947269, time.Local), LastTimestamp:time.Date(2022, time.October, 19, 22, 8, 26, 128947269, time.Local), Count:1, Type:"Warning", EventTime:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), Series:(*v1.EventSeries)(nil), Action:"", Related:(*v1.ObjectReference)(nil), ReportingController:"", ReportingInstance:""}': 'events "sample-sql-db.171f97cfda6c9845" is forbidden: unable to create new content in namespace cosmosdb because it is being terminated' (will not retry!)
E1019 22:08:26.190216       1 azure_generic_arm_reconciler_instance.go:93] controllers/SqlDatabaseContainerController "msg"="Error during Delete" "error"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db/containers/sample-sql-container\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 8f58cd75-ba38-427e-811e-cb29e01ed611, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "azureName"="sample-sql-container" "name"="sample-sql-container" "namespace"="cosmosdb" "action"="MonitorDelete"
E1019 22:08:26.190292       1 generic_controller.go:231] controllers/SqlDatabaseContainerController "msg"="error during reconcile" "error"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db/containers/sample-sql-container\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 8f58cd75-ba38-427e-811e-cb29e01ed611, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "name"="sample-sql-container" "namespace"="cosmosdb" 
I1019 22:08:26.190452       1 recorder.go:103] events "msg"="Warning"  "message"="head resource: GET https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-cosmos-demo/providers/Microsoft.DocumentDB/databaseAccounts/gitopsiacdemo/sqlDatabases/sample-sql-db/containers/sample-sql-container\n--------------------------------------------------------------------------------\nRESPONSE 400: 400 Bad Request\nERROR CODE: BadRequest\n--------------------------------------------------------------------------------\n{\n  \"code\": \"BadRequest\",\n  \"message\": \"The requested operation cannot be performed because the database account gitopsiacdemo state is not Online.\\r\\nActivityId: 8f58cd75-ba38-427e-811e-cb29e01ed611, Microsoft.Azure.Documents.Common/2.14.0\"\n}\n--------------------------------------------------------------------------------\n" "object"={"kind":"SqlDatabaseContainer","namespace":"cosmosdb","name":"sample-sql-container","uid":"af6aca8d-3cb0-437e-b08a-5873fb62f999","apiVersion":"documentdb.azure.com/v1beta20210515storage","resourceVersion":"8029"} "reason"="DeleteActionError"
